model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
5 Series,2014,11200,Automatic,67068,Diesel,125,57.6,2.0
6 Series,2018,27000,Automatic,14827,Petrol,145,42.8,2.0
5 Series,2016,16000,Automatic,62794,Diesel,160,51.4,3.0
1 Series,2017,12750,Automatic,26676,Diesel,145,72.4,1.5
7 Series,2014,14500,Automatic,39554,Diesel,160,50.4,3.0
5 Series,2015,14900,Automatic,35309,Diesel,125,60.1,2.0
3 Series,2017,16000,Manual,38538,Diesel,125,60.1,2.0
2 Series,2018,16250,Manual,10401,Petrol,145,52.3,1.5
4 Series,2017,14250,Manual,42668,Diesel,30,62.8,2.0
X3,2016,16500,Automatic,59836,Diesel,125,52.3,2.0
X5,2016,23900,Automatic,44799,Diesel,200,47.1,3.0
3 Series,2017,13500,Manual,42131,Diesel,20,64.2,2.0
2 Series,2016,11400,Manual,45000,Diesel,30,64.2,2.0
1 Series,2019,15800,Manual,17300,Petrol,145,42.8,1.5
X1,2017,16500,Automatic,23000,Diesel,125,60.1,2.0
